tourney_name	round	surface	winner_name	loser_name	score	winner_rank	loser_rank	w_ace	w_df	w_1stIn	w_1stWon	w_2ndWon	w_bpSaved	w_bpFaced	l_ace	l_df	l_1stIn	l_1stWon	l_2ndWon	l_bpSaved	l_bpFaced	input_text	target_text	input_text_old
Wimbledon	R16	Grass	Daniil Medvedev	Grigor Dimitrov	5-3 RET	5.0	10.0	6.0	1.0	14.0	9.0	6.0	1.0	2.0	1.0	0.0	14.0	8.0	4.0	1.0	3.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: R16
Surface: Grass

Winner: Daniil Medvedev (rank 5.0)
Loser: Grigor Dimitrov (rank 10.0)
Score: 5-3 RET

Winner stats:
- Aces: 6.0
- Double faults: 1.0
- 1st serve in: 14.0
- 1st serve points won: 9.0
- 2nd serve points won: 6.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 1.0
- Double faults: 0.0
- 1st serve in: 14.0
- 1st serve points won: 8.0
- 2nd serve points won: 4.0
- Break points saved: 1.0 out of 3.0"	"Daniil Medvedev returned to the quarter-finals at Wimbledon on Sunday when Grigor Dimitrov was forced to retire while trailing 3-5 in the first set.
The Bulgarian slipped at 2-3 in the first set before he received a medical timeout for a knee issue. He continued on for three more games before eventually stopping after 35 minutes on No. 1 Court."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: R16

Winner: Daniil Medvedev (Rank: 5.0)
Loser: Grigor Dimitrov (Rank: 10.0)
Score: 5-3 RET

Winner stats:
- Aces: 6.0
- Double faults: 1.0
- 1st serve in: 14.0
- 1st serve points won: 9.0
- 2nd serve points won: 6.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 1.0
- Double faults: 0.0
- 1st serve in: 14.0
- 1st serve points won: 8.0
- 2nd serve points won: 4.0
- Break points saved: 1.0 out of 3.0"
Australian Open	SF	Hard	Daniil Medvedev	Alexander Zverev	5-7 3-6 7-6(4) 7-6(5) 6-3	3.0	6.0	14.0	6.0	94.0	72.0	35.0	5.0	10.0	14.0	1.0	132.0	94.0	22.0	10.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: SF
Surface: Hard

Winner: Daniil Medvedev (rank 3.0)
Loser: Alexander Zverev (rank 6.0)
Score: 5-7 3-6 7-6(4) 7-6(5) 6-3

Winner stats:
- Aces: 14.0
- Double faults: 6.0
- 1st serve in: 94.0
- 1st serve points won: 72.0
- 2nd serve points won: 35.0
- Break points saved: 5.0 out of 10.0

Loser stats:
- Aces: 14.0
- Double faults: 1.0
- 1st serve in: 132.0
- 1st serve points won: 94.0
- 2nd serve points won: 22.0
- Break points saved: 10.0 out of 14.0"	"Daniil Medvedev rallied from two-sets-to-love down for the fourth time in his career on Friday when he moved past long-term rival Alexander Zverev 5-7, 3-6, 7-6(4), 7-6(5), 6-3 to reach his third Australian Open final.
Meeting for the 19th time but first at a major, Medvedev was two points away from defeat in the fourth-set tie-break but stayed composed, eventually advancing to his sixth Slam title match after a four-hour and 18-minute epic inside a lively Rod Laver Arena."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: SF

Winner: Daniil Medvedev (Rank: 3.0)
Loser: Alexander Zverev (Rank: 6.0)
Score: 5-7 3-6 7-6(4) 7-6(5) 6-3

Winner stats:
- Aces: 14.0
- Double faults: 6.0
- 1st serve in: 94.0
- 1st serve points won: 72.0
- 2nd serve points won: 35.0
- Break points saved: 5.0 out of 10.0

Loser stats:
- Aces: 14.0
- Double faults: 1.0
- 1st serve in: 132.0
- 1st serve points won: 94.0
- 2nd serve points won: 22.0
- Break points saved: 10.0 out of 14.0"
Wimbledon	QF	Grass	Novak Djokovic	Alex De Minaur	W/O	2.0	9.0															"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: QF
Surface: Grass

Winner: Novak Djokovic (rank 2.0)
Loser: Alex De Minaur (rank 9.0)
Score: W/O

Winner stats:
- Aces: nan
- Double faults: nan
- 1st serve in: nan
- 1st serve points won: nan
- 2nd serve points won: nan
- Break points saved: nan out of nan

Loser stats:
- Aces: nan
- Double faults: nan
- 1st serve in: nan
- 1st serve points won: nan
- 2nd serve points won: nan
- Break points saved: nan out of nan"	"Alex de Minaur has withdrawn from Wimbledon prior to his quarter-final clash against Novak Djokovic due to injury.
The ninth-seeded Australian announced he was unable to compete against the seven-time champion Djokovic at a press conference. He had spoken of jarring his hip in the closing stages of his fourth-round victory against Arthur Fils, and he was unable to recover in time to take on the second-seeded Djokovic on Centre Court on Wednesday."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: QF

Winner: Novak Djokovic (Rank: 2.0)
Loser: Alex De Minaur (Rank: 9.0)
Score: W/O

Winner stats:
- Aces: nan
- Double faults: nan
- 1st serve in: nan
- 1st serve points won: nan
- 2nd serve points won: nan
- Break points saved: nan out of nan

Loser stats:
- Aces: nan
- Double faults: nan
- 1st serve in: nan
- 1st serve points won: nan
- 2nd serve points won: nan
- Break points saved: nan out of nan"
Australian Open	SF	Hard	Jannik Sinner	Novak Djokovic	6-1 6-2 6-7(6) 6-3	4.0	1.0	9.0	1.0	64.0	53.0	29.0	0.0	0.0	7.0	4.0	79.0	53.0	17.0	6.0	11.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: SF
Surface: Hard

Winner: Jannik Sinner (rank 4.0)
Loser: Novak Djokovic (rank 1.0)
Score: 6-1 6-2 6-7(6) 6-3

Winner stats:
- Aces: 9.0
- Double faults: 1.0
- 1st serve in: 64.0
- 1st serve points won: 53.0
- 2nd serve points won: 29.0
- Break points saved: 0.0 out of 0.0

Loser stats:
- Aces: 7.0
- Double faults: 4.0
- 1st serve in: 79.0
- 1st serve points won: 53.0
- 2nd serve points won: 17.0
- Break points saved: 6.0 out of 11.0"	"Jannik Sinner turned the most anticipated matchup of the 2024 Australian Open into his own personal showcase in a dominant win against 10-time champion Novak Djokovic. While the Italian's upset against the World No. 1 may not be a shock, the 6-1, 6-2, 6-7(6), 6-3 scoreline is one of the more stunning in recent memory.
Djokovic fought off a match point in the third-set tie-break but was ultimately unable to rise to his opponent's challenge on a largely off-colour afternoon. The Serbian made 54 unforced errors and did not create a break point as Sinner held firm with a patient game plan that seemed to dare the defending champion to beat him in the rallies"	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: SF

Winner: Jannik Sinner (Rank: 4.0)
Loser: Novak Djokovic (Rank: 1.0)
Score: 6-1 6-2 6-7(6) 6-3

Winner stats:
- Aces: 9.0
- Double faults: 1.0
- 1st serve in: 64.0
- 1st serve points won: 53.0
- 2nd serve points won: 29.0
- Break points saved: 0.0 out of 0.0

Loser stats:
- Aces: 7.0
- Double faults: 4.0
- 1st serve in: 79.0
- 1st serve points won: 53.0
- 2nd serve points won: 17.0
- Break points saved: 6.0 out of 11.0"
Us Open	R16	Hard	Jannik Sinner	Tommy Paul	7-6(3) 7-6(5) 6-1	1.0	14.0	10.0	1.0	48.0	39.0	28.0	2.0	4.0	4.0	3.0	67.0	43.0	19.0	10.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: R16
Surface: Hard

Winner: Jannik Sinner (rank 1.0)
Loser: Tommy Paul (rank 14.0)
Score: 7-6(3) 7-6(5) 6-1

Winner stats:
- Aces: 10.0
- Double faults: 1.0
- 1st serve in: 48.0
- 1st serve points won: 39.0
- 2nd serve points won: 28.0
- Break points saved: 2.0 out of 4.0

Loser stats:
- Aces: 4.0
- Double faults: 3.0
- 1st serve in: 67.0
- 1st serve points won: 43.0
- 2nd serve points won: 19.0
- Break points saved: 10.0 out of 14.0"	The No. 1 player in the PIF ATP Rankings battled from two breaks down in the first set and had to work hard throughout, but his baseline power and jaw-dropping shotmaking proved enough to claw to a 7-6(3), 7-6(5), 6-1 victory.	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: R16

Winner: Jannik Sinner (Rank: 1.0)
Loser: Tommy Paul (Rank: 14.0)
Score: 7-6(3) 7-6(5) 6-1

Winner stats:
- Aces: 10.0
- Double faults: 1.0
- 1st serve in: 48.0
- 1st serve points won: 39.0
- 2nd serve points won: 28.0
- Break points saved: 2.0 out of 4.0

Loser stats:
- Aces: 4.0
- Double faults: 3.0
- 1st serve in: 67.0
- 1st serve points won: 43.0
- 2nd serve points won: 19.0
- Break points saved: 10.0 out of 14.0"
Wimbledon	R16	Grass	Tommy Paul	Roberto Bautista Agut	6-2 7-6(3) 6-2	13.0	112.0	11.0	2.0	54.0	43.0	21.0	3.0	4.0	0.0	0.0	67.0	36.0	13.0	2.0	7.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: R16
Surface: Grass

Winner: Tommy Paul (rank 13.0)
Loser: Roberto Bautista Agut (rank 112.0)
Score: 6-2 7-6(3) 6-2

Winner stats:
- Aces: 11.0
- Double faults: 2.0
- 1st serve in: 54.0
- 1st serve points won: 43.0
- 2nd serve points won: 21.0
- Break points saved: 3.0 out of 4.0

Loser stats:
- Aces: 0.0
- Double faults: 0.0
- 1st serve in: 67.0
- 1st serve points won: 36.0
- 2nd serve points won: 13.0
- Break points saved: 2.0 out of 7.0"	"U.S. 12th seed Tommy Paul raced against the fading light on Court Two to dispatch Spanish veteran Roberto Bautista Agut 6-2 7-6(3) 6-2 on Sunday and set up a quarter-final clash with defending champion Carlos Alcaraz.
The 27-year-old took just over two hours to beat Bautista Agut who was bidding to reach his second Wimbledon quarter-final in his 10th appearance here"	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: R16

Winner: Tommy Paul (Rank: 13.0)
Loser: Roberto Bautista Agut (Rank: 112.0)
Score: 6-2 7-6(3) 6-2

Winner stats:
- Aces: 11.0
- Double faults: 2.0
- 1st serve in: 54.0
- 1st serve points won: 43.0
- 2nd serve points won: 21.0
- Break points saved: 3.0 out of 4.0

Loser stats:
- Aces: 0.0
- Double faults: 0.0
- 1st serve in: 67.0
- 1st serve points won: 36.0
- 2nd serve points won: 13.0
- Break points saved: 2.0 out of 7.0"
Australian Open	R16	Hard	Taylor Fritz	Stefanos Tsitsipas	7-6(3) 5-7 6-3 6-3	12.0	7.0	13.0	2.0	79.0	68.0	18.0	2.0	4.0	12.0	7.0	86.0	65.0	22.0	7.0	11.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: R16
Surface: Hard

Winner: Taylor Fritz (rank 12.0)
Loser: Stefanos Tsitsipas (rank 7.0)
Score: 7-6(3) 5-7 6-3 6-3

Winner stats:
- Aces: 13.0
- Double faults: 2.0
- 1st serve in: 79.0
- 1st serve points won: 68.0
- 2nd serve points won: 18.0
- Break points saved: 2.0 out of 4.0

Loser stats:
- Aces: 12.0
- Double faults: 7.0
- 1st serve in: 86.0
- 1st serve points won: 65.0
- 2nd serve points won: 22.0
- Break points saved: 7.0 out of 11.0"	"Taylor Fritz reached the Australian Open quarter-finals for the first time Sunday, overcoming World No. 7 Stefanos Tsitsipas 7-6(3), 5-7, 6-3, 6-3 to earn his maiden Top 10 win at a major.
The American had lost all of his 11 previous meetings against Top 10 players at Slams, including a fourth-round defeat against Tsitsipas in Melbourne in 2022. However, the 26-year-old was close to his best inside John Cain Arena to end that run, firing 13 aces and winning 86 per cent (68/79) of his first-serve points to advance after three hours and one minute."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: R16

Winner: Taylor Fritz (Rank: 12.0)
Loser: Stefanos Tsitsipas (Rank: 7.0)
Score: 7-6(3) 5-7 6-3 6-3

Winner stats:
- Aces: 13.0
- Double faults: 2.0
- 1st serve in: 79.0
- 1st serve points won: 68.0
- 2nd serve points won: 18.0
- Break points saved: 2.0 out of 4.0

Loser stats:
- Aces: 12.0
- Double faults: 7.0
- 1st serve in: 86.0
- 1st serve points won: 65.0
- 2nd serve points won: 22.0
- Break points saved: 7.0 out of 11.0"
Wimbledon	R16	Grass	Taylor Fritz	Alexander Zverev	4-6 6-7(4) 6-4 7-6(3) 6-3	12.0	4.0	15.0	0.0	96.0	80.0	34.0	1.0	2.0	19.0	3.0	115.0	92.0	18.0	2.0	4.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Wimbledon
Round: R16
Surface: Grass

Winner: Taylor Fritz (rank 12.0)
Loser: Alexander Zverev (rank 4.0)
Score: 4-6 6-7(4) 6-4 7-6(3) 6-3

Winner stats:
- Aces: 15.0
- Double faults: 0.0
- 1st serve in: 96.0
- 1st serve points won: 80.0
- 2nd serve points won: 34.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 19.0
- Double faults: 3.0
- 1st serve in: 115.0
- 1st serve points won: 92.0
- 2nd serve points won: 18.0
- Break points saved: 2.0 out of 4.0"	"Taylor Fritz on Monday earned one of the most stunning victories of Wimbledon.
The 13th seed rallied from two sets down to shock fourth seed Alexander Zverev 4-6, 6-7(4), 6-4, 7-6(3), 6-3 for a spot in the quarter-finals of The Championships. The American will face 25th seed Lorenzo Musetti for a place in the semi-finals."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Wimbledon
Surface: Grass
Round: R16

Winner: Taylor Fritz (Rank: 12.0)
Loser: Alexander Zverev (Rank: 4.0)
Score: 4-6 6-7(4) 6-4 7-6(3) 6-3

Winner stats:
- Aces: 15.0
- Double faults: 0.0
- 1st serve in: 96.0
- 1st serve points won: 80.0
- 2nd serve points won: 34.0
- Break points saved: 1.0 out of 2.0

Loser stats:
- Aces: 19.0
- Double faults: 3.0
- 1st serve in: 115.0
- 1st serve points won: 92.0
- 2nd serve points won: 18.0
- Break points saved: 2.0 out of 4.0"
Roland Garros	R16	Clay	Jannik Sinner	Corentin Moutet	2-6 6-3 6-2 6-1	2.0	79.0	5.0	5.0	62.0	45.0	14.0	2.0	6.0	1.0	2.0	71.0	39.0	8.0	6.0	14.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: R16
Surface: Clay

Winner: Jannik Sinner (rank 2.0)
Loser: Corentin Moutet (rank 79.0)
Score: 2-6 6-3 6-2 6-1

Winner stats:
- Aces: 5.0
- Double faults: 5.0
- 1st serve in: 62.0
- 1st serve points won: 45.0
- 2nd serve points won: 14.0
- Break points saved: 2.0 out of 6.0

Loser stats:
- Aces: 1.0
- Double faults: 2.0
- 1st serve in: 71.0
- 1st serve points won: 39.0
- 2nd serve points won: 8.0
- Break points saved: 6.0 out of 14.0"	"Jannik Sinner withstood an early onslaught from home favourite Corentin Moutet to seal passage to the quarter-finals with a 2-6, 6-3, 6-2, 6-1 victory Sunday at Roland Garros.
For one remarkable opening set, the No. 79-ranked Moutet had the Court Philippe-Chatrier crowd in the palm of his hand as he dazzled the fans and Sinner with his unique variety-filled lefty game. Moutet, who let slip two chances to complete a rare bagel against the No. 2 in the PIF ATP Rankings from 5-0, 40/15, led by a set and a break at 6-2, 1-0, at which point Sinner’s comeback began.
The Australian Open champion ultimately proved too consistent from the baseline for Moutet, who battled admirably throughout but struggled to counter his opponent’s power across the second, third and fourth sets. Sinner did not seem fazed by the electric atmosphere whipped up by the home fans and he closed out victory in two hours and 41 minutes to set a quarter-final clash with Grigor Dimitrov."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: R16

Winner: Jannik Sinner (Rank: 2.0)
Loser: Corentin Moutet (Rank: 79.0)
Score: 2-6 6-3 6-2 6-1

Winner stats:
- Aces: 5.0
- Double faults: 5.0
- 1st serve in: 62.0
- 1st serve points won: 45.0
- 2nd serve points won: 14.0
- Break points saved: 2.0 out of 6.0

Loser stats:
- Aces: 1.0
- Double faults: 2.0
- 1st serve in: 71.0
- 1st serve points won: 39.0
- 2nd serve points won: 8.0
- Break points saved: 6.0 out of 14.0"
Roland Garros	SF	Clay	Alexander Zverev	Casper Ruud	2-6 6-2 6-4 6-2	4.0	7.0	19.0	4.0	56.0	48.0	14.0	1.0	3.0	4.0	0.0	71.0	49.0	14.0	7.0	12.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: SF
Surface: Clay

Winner: Alexander Zverev (rank 4.0)
Loser: Casper Ruud (rank 7.0)
Score: 2-6 6-2 6-4 6-2

Winner stats:
- Aces: 19.0
- Double faults: 4.0
- 1st serve in: 56.0
- 1st serve points won: 48.0
- 2nd serve points won: 14.0
- Break points saved: 1.0 out of 3.0

Loser stats:
- Aces: 4.0
- Double faults: 0.0
- 1st serve in: 71.0
- 1st serve points won: 49.0
- 2nd serve points won: 14.0
- Break points saved: 7.0 out of 12.0"	"Alexander Zverev reached his maiden Roland Garros final on Friday in his fourth semi-final attempt. The German moved past two-time finalist Casper Ruud 2-6, 6-2, 6-4, 6-2.
Zverev lost in the last four at the clay-court major in 2021, 2022 and 2023, falling to Ruud in straight sets at this stage last year. However, the 27-year-old ensured history did not repeat itself under the lights on Court Philippe-Chatrier, where he recovered from a slow start to dispatch the Norwegian."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: SF

Winner: Alexander Zverev (Rank: 4.0)
Loser: Casper Ruud (Rank: 7.0)
Score: 2-6 6-2 6-4 6-2

Winner stats:
- Aces: 19.0
- Double faults: 4.0
- 1st serve in: 56.0
- 1st serve points won: 48.0
- 2nd serve points won: 14.0
- Break points saved: 1.0 out of 3.0

Loser stats:
- Aces: 4.0
- Double faults: 0.0
- 1st serve in: 71.0
- 1st serve points won: 49.0
- 2nd serve points won: 14.0
- Break points saved: 7.0 out of 12.0"
Us Open	SF	Hard	Jannik Sinner	Jack Draper	7-5 7-6(3) 6-2	1.0	25.0	11.0	2.0	62.0	48.0	25.0	3.0	4.0	8.0	10.0	64.0	43.0	32.0	7.0	11.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Us Open
Round: SF
Surface: Hard

Winner: Jannik Sinner (rank 1.0)
Loser: Jack Draper (rank 25.0)
Score: 7-5 7-6(3) 6-2

Winner stats:
- Aces: 11.0
- Double faults: 2.0
- 1st serve in: 62.0
- 1st serve points won: 48.0
- 2nd serve points won: 25.0
- Break points saved: 3.0 out of 4.0

Loser stats:
- Aces: 8.0
- Double faults: 10.0
- 1st serve in: 64.0
- 1st serve points won: 43.0
- 2nd serve points won: 32.0
- Break points saved: 7.0 out of 11.0"	"Jannik Sinner reached the US Open final for the first time on Friday when he ended Jack Draper’s run in a hard-fought display on Arthur Ashe Stadium. The Italian dug deep in a physical battle to earn a a 7-5, 7-6(3), 6-2 triumph.
In a gruelling clash, Sinner played with relentless intensity to grind down Draper, who struggled physically from the closing stages of the second set. The top seed fired 42 winners and survived a scare of his own in the second set when he tweaked his left wrist after using it to cushion his fall when he stumbled behind the baseline."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Us Open
Surface: Hard
Round: SF

Winner: Jannik Sinner (Rank: 1.0)
Loser: Jack Draper (Rank: 25.0)
Score: 7-5 7-6(3) 6-2

Winner stats:
- Aces: 11.0
- Double faults: 2.0
- 1st serve in: 62.0
- 1st serve points won: 48.0
- 2nd serve points won: 25.0
- Break points saved: 3.0 out of 4.0

Loser stats:
- Aces: 8.0
- Double faults: 10.0
- 1st serve in: 64.0
- 1st serve points won: 43.0
- 2nd serve points won: 32.0
- Break points saved: 7.0 out of 11.0"
Australian Open	QF	Hard	Novak Djokovic	Taylor Fritz	7-6(3) 4-6 6-2 6-3	1.0	12.0	20.0	3.0	72.0	59.0	25.0	4.0	6.0	16.0	2.0	90.0	59.0	31.0	17.0	21.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: QF
Surface: Hard

Winner: Novak Djokovic (rank 1.0)
Loser: Taylor Fritz (rank 12.0)
Score: 7-6(3) 4-6 6-2 6-3

Winner stats:
- Aces: 20.0
- Double faults: 3.0
- 1st serve in: 72.0
- 1st serve points won: 59.0
- 2nd serve points won: 25.0
- Break points saved: 4.0 out of 6.0

Loser stats:
- Aces: 16.0
- Double faults: 2.0
- 1st serve in: 90.0
- 1st serve points won: 59.0
- 2nd serve points won: 31.0
- Break points saved: 17.0 out of 21.0"	"For the third time this Australian Open campaign, Novak Djokovic found himself pegged back to one-set-all on Tuesday. For the third time, the World No. 1 found a mid-match boost to charge to a four-set triumph inside Rod Laver Arena.
Yet sweltering conditions and a Top 20 opponent in Taylor Fritz made Djokovic’s 7-6(3), 4-6, 6-2, 6-3 quarter-final win arguably his most impressive yet this fortnight at Melbourne Park. Although he ultimately accelerated to victory after a lung-busting opening two sets, Djokovic was left in no doubt as to the physical test he had passed against the No. 12 in the Pepperstone ATP Rankings."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: QF

Winner: Novak Djokovic (Rank: 1.0)
Loser: Taylor Fritz (Rank: 12.0)
Score: 7-6(3) 4-6 6-2 6-3

Winner stats:
- Aces: 20.0
- Double faults: 3.0
- 1st serve in: 72.0
- 1st serve points won: 59.0
- 2nd serve points won: 25.0
- Break points saved: 4.0 out of 6.0

Loser stats:
- Aces: 16.0
- Double faults: 2.0
- 1st serve in: 90.0
- 1st serve points won: 59.0
- 2nd serve points won: 31.0
- Break points saved: 17.0 out of 21.0"
Roland Garros	R16	Clay	Alexander Zverev	Holger Rune	4-6 6-1 5-7 7-6(2) 6-2	4.0	13.0	16.0	3.0	96.0	74.0	17.0	4.0	10.0	10.0	3.0	96.0	63.0	33.0	15.0	23.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Roland Garros
Round: R16
Surface: Clay

Winner: Alexander Zverev (rank 4.0)
Loser: Holger Rune (rank 13.0)
Score: 4-6 6-1 5-7 7-6(2) 6-2

Winner stats:
- Aces: 16.0
- Double faults: 3.0
- 1st serve in: 96.0
- 1st serve points won: 74.0
- 2nd serve points won: 17.0
- Break points saved: 4.0 out of 10.0

Loser stats:
- Aces: 10.0
- Double faults: 3.0
- 1st serve in: 96.0
- 1st serve points won: 63.0
- 2nd serve points won: 33.0
- Break points saved: 15.0 out of 23.0"	"For the second straight match at Roland Garros, Alexander Zverev battled into a fifth set to survive and advance. On Monday night turned Tuesday morning on Court Philippe-Chatrier, the German came from behind for a 4-6, 6-1, 5-7, 7-6(2), 6-2 victory against Holger Rune, keeping alive his bid to reach the semi-finals for the fourth consecutive year at the clay-court major.
By denying Rune his third quarter-final in three Paris appearances, Zverev became the sixth man to reach six Roland Garros quarter-finals this century."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Roland Garros
Surface: Clay
Round: R16

Winner: Alexander Zverev (Rank: 4.0)
Loser: Holger Rune (Rank: 13.0)
Score: 4-6 6-1 5-7 7-6(2) 6-2

Winner stats:
- Aces: 16.0
- Double faults: 3.0
- 1st serve in: 96.0
- 1st serve points won: 74.0
- 2nd serve points won: 17.0
- Break points saved: 4.0 out of 10.0

Loser stats:
- Aces: 10.0
- Double faults: 3.0
- 1st serve in: 96.0
- 1st serve points won: 63.0
- 2nd serve points won: 33.0
- Break points saved: 15.0 out of 23.0"
Australian Open	QF	Hard	Alexander Zverev	Carlos Alcaraz	6-1 6-3 6-7(2) 6-4	6.0	2.0	7.0	1.0	94.0	69.0	8.0	3.0	5.0	6.0	2.0	79.0	53.0	16.0	3.0	10.0	"You are a sports journalist. Write a short, factual tennis match report in MAXIMUM 3 sentences.
Use ONLY the information from the stats below. Do NOT invent any extra facts or numbers.

Tournament: Australian Open
Round: QF
Surface: Hard

Winner: Alexander Zverev (rank 6.0)
Loser: Carlos Alcaraz (rank 2.0)
Score: 6-1 6-3 6-7(2) 6-4

Winner stats:
- Aces: 7.0
- Double faults: 1.0
- 1st serve in: 94.0
- 1st serve points won: 69.0
- 2nd serve points won: 8.0
- Break points saved: 3.0 out of 5.0

Loser stats:
- Aces: 6.0
- Double faults: 2.0
- 1st serve in: 79.0
- 1st serve points won: 53.0
- 2nd serve points won: 16.0
- Break points saved: 3.0 out of 10.0"	"Alexander Zverev notched a statement win Wednesday at the Australian Open. The sixth-seeded German claimed his first Grand Slam victory against a Top 5 opponent by downing World No. 2 Carlos Alcaraz 6-1, 6-3, 6-7(2), 6-4 to reach the semi-finals at Melbourne Park for the second time.
Zverev successfully landed 85 per cent of his first serves and went on to win 73 per cent (69/94) of points behind his first delivery, according to Infosys Stats. His serve was the foundation for his dominance in the opening two and a half sets, when the German backed them up with some of his cleanest groundstrokes of the fortnight as he consistently absorbed Alcaraz’s power to great effect to move to the verge of victory at 6-1, 6-2, 5-2.
Alcaraz kick-started a comeback, however, when he broke Zverev for the first time in the match as the German served for victory at 5-3 in the third set. The Spaniard then lit up Rod Laver Arena with some stunning ball-striking en route to winning the tie-break, but Zverev held firm in the fourth for a three-hour, six-minute win."	"You are a tennis journalist. Write a short, clear match report based on the following statistics.

Tournament: Australian Open
Surface: Hard
Round: QF

Winner: Alexander Zverev (Rank: 6.0)
Loser: Carlos Alcaraz (Rank: 2.0)
Score: 6-1 6-3 6-7(2) 6-4

Winner stats:
- Aces: 7.0
- Double faults: 1.0
- 1st serve in: 94.0
- 1st serve points won: 69.0
- 2nd serve points won: 8.0
- Break points saved: 3.0 out of 5.0

Loser stats:
- Aces: 6.0
- Double faults: 2.0
- 1st serve in: 79.0
- 1st serve points won: 53.0
- 2nd serve points won: 16.0
- Break points saved: 3.0 out of 10.0"
